               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10134,             0.10022,            0.070122,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.070197,           0.0033114,           0.0033114
                   1,            0.074923,            0.079107,            0.062208,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.040175,           0.0066228,           0.0066228
                   2,            0.074179,            0.074158,             0.05984,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.010132,           0.0099122,           0.0099122
                   3,             0.06804,            0.072619,            0.058361,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009901,            0.009901,            0.009901
                   4,            0.058042,            0.070191,            0.057151,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009901,            0.009901,            0.009901
                   5,            0.053279,            0.069958,            0.054804,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009868,            0.009868,            0.009868
                   6,            0.050728,            0.065711,             0.05293,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009835,            0.009835,            0.009835
                   7,            0.047939,            0.064077,            0.050194,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009802,            0.009802,            0.009802
                   8,            0.043118,            0.064973,             0.04641,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009769,            0.009769,            0.009769
                   9,            0.043769,            0.066774,            0.043678,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009736,            0.009736,            0.009736
                  10,            0.043266,            0.062794,             0.04091,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009703,            0.009703,            0.009703
                  11,            0.040707,            0.063926,            0.038488,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00967,             0.00967,             0.00967
                  12,            0.040278,            0.063046,            0.037115,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009637,            0.009637,            0.009637
                  13,            0.039748,            0.059745,            0.034909,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009604,            0.009604,            0.009604
                  14,            0.037933,            0.059188,            0.033467,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009571,            0.009571,            0.009571
                  15,            0.038278,             0.06156,            0.031427,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009538,            0.009538,            0.009538
                  16,            0.038766,            0.057023,            0.029183,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009505,            0.009505,            0.009505
                  17,            0.037483,            0.061001,            0.027246,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009472,            0.009472,            0.009472
                  18,            0.037773,            0.059899,            0.025848,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009439,            0.009439,            0.009439
                  19,            0.036648,            0.056435,            0.023874,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009406,            0.009406,            0.009406
                  20,            0.036125,             0.05677,            0.022449,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009373,            0.009373,            0.009373
                  21,            0.034844,            0.055032,             0.02093,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00934,             0.00934,             0.00934
                  22,             0.03608,            0.056379,            0.019552,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009307,            0.009307,            0.009307
                  23,            0.035082,            0.053888,            0.018868,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009274,            0.009274,            0.009274
                  24,            0.035214,            0.056209,            0.017703,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009241,            0.009241,            0.009241
                  25,            0.034518,            0.055179,            0.016811,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009208,            0.009208,            0.009208
                  26,            0.034227,            0.052525,            0.015472,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009175,            0.009175,            0.009175
                  27,            0.033615,            0.053721,            0.015539,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009142,            0.009142,            0.009142
                  28,            0.033532,            0.053955,            0.014647,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009109,            0.009109,            0.009109
                  29,            0.032836,            0.053492,             0.01407,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009076,            0.009076,            0.009076
                  30,             0.03262,            0.052666,            0.013331,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009043,            0.009043,            0.009043
                  31,            0.031297,            0.056503,            0.012642,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00901,             0.00901,             0.00901
                  32,             0.03297,            0.053756,            0.011922,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008977,            0.008977,            0.008977
                  33,            0.031944,            0.055959,            0.011931,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008944,            0.008944,            0.008944
                  34,            0.031845,            0.053798,            0.011178,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008911,            0.008911,            0.008911
                  35,             0.03195,            0.053319,            0.010789,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008878,            0.008878,            0.008878
                  36,            0.030672,            0.052974,            0.010452,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008845,            0.008845,            0.008845
                  37,            0.030508,            0.051501,            0.010362,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008812,            0.008812,            0.008812
                  38,            0.031424,            0.055284,           0.0097131,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008779,            0.008779,            0.008779
